sepal_length,sepal_width,petal_length,petal_width,species,total_size,petal_ratio
5.1,3.5,1.4,0.2,setosa,10.2,6.999999999999999
4.9,3.0,1.4,0.2,setosa,9.5,6.999999999999999
4.7,3.2,1.3,0.2,setosa,9.4,6.5
4.6,3.1,1.5,0.2,setosa,9.399999999999999,7.5
5.0,3.6,1.4,0.2,setosa,10.2,6.999999999999999
5.4,3.9,1.7,0.4,setosa,11.4,4.25
4.6,3.4,1.4,0.3,setosa,9.700000000000001,4.666666666666667
5.0,3.4,1.5,0.2,setosa,10.1,7.5
4.4,2.9,1.4,0.2,setosa,8.9,6.999999999999999
4.9,3.1,1.5,0.1,setosa,9.6,15.0
5.4,3.7,1.5,0.2,setosa,10.8,7.5
4.8,3.4,1.6,0.2,setosa,9.999999999999998,8.0
4.8,3.0,1.4,0.1,setosa,9.299999999999999,13.999999999999998
4.3,3.0,1.1,0.1,setosa,8.5,11.0
5.8,4.0,1.2,0.2,setosa,11.2,5.999999999999999
5.7,4.4,1.5,0.4,setosa,12.000000000000002,3.75
5.4,3.9,1.3,0.4,setosa,11.000000000000002,3.25
5.1,3.5,1.4,0.3,setosa,10.3,4.666666666666667
5.7,3.8,1.7,0.3,setosa,11.5,5.666666666666667
5.1,3.8,1.5,0.3,setosa,10.7,5.0
5.4,3.4,1.7,0.2,setosa,10.7,8.5
5.1,3.7,1.5,0.4,setosa,10.700000000000001,3.75
4.6,3.6,1.0,0.2,setosa,9.399999999999999,5.0
5.1,3.3,1.7,0.5,setosa,10.599999999999998,3.4
4.8,3.4,1.9,0.2,setosa,10.299999999999999,9.499999999999998
5.0,3.0,1.6,0.2,setosa,9.799999999999999,8.0
5.0,3.4,1.6,0.4,setosa,10.4,4.0
5.2,3.5,1.5,0.2,setosa,10.399999999999999,7.5
5.2,3.4,1.4,0.2,setosa,10.2,6.999999999999999
4.7,3.2,1.6,0.2,setosa,9.7,8.0
4.8,3.1,1.6,0.2,setosa,9.7,8.0
5.4,3.4,1.5,0.4,setosa,10.700000000000001,3.75
5.2,4.1,1.5,0.1,setosa,10.9,15.0
5.5,4.2,1.4,0.2,setosa,11.299999999999999,6.999999999999999
4.9,3.1,1.5,0.2,setosa,9.7,7.5
5.0,3.2,1.2,0.2,setosa,9.599999999999998,5.999999999999999
5.5,3.5,1.3,0.2,setosa,10.5,6.5
4.9,3.6,1.4,0.1,setosa,10.0,13.999999999999998
4.4,3.0,1.3,0.2,setosa,8.9,6.5
5.1,3.4,1.5,0.2,setosa,10.2,7.5
5.0,3.5,1.3,0.3,setosa,10.100000000000001,4.333333333333334
4.5,2.3,1.3,0.3,setosa,8.4,4.333333333333334
4.4,3.2,1.3,0.2,setosa,9.1,6.5
5.0,3.5,1.6,0.6,setosa,10.7,2.666666666666667
5.1,3.8,1.9,0.4,setosa,11.2,4.749999999999999
